trust_type,trust_name,system_name,user_category,sus_score,csus_score,review_positive_text,review_negative_text,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS BRADFORD DISTRICTS CCG,SystmOne GP (TPP),Primary Care Doctor - GP,62.5,32.5,"recalls, audit trails ",looks too busy and not as easy as EMIS,,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),Secondary Care / Inpatient Nurse,15,17.5,I cannot think of anything about the Care Notes system that is better than RiO (the old system),"Everything!!
Bring back RiO!!",,,
Mental Health Foundation Trust,Lancashire Care NHS Foundation Trust,eCPA (EMIS Health),"Physiotherapy, OT, Medical Technicians",60,27.5,It's fairly easy to use.,"Access to physical health checks, CT scan results etc",,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),"Physiotherapy, OT, Medical Technicians",35,20,I like the apps and the way it is laid out,"It is frustrating that you cannot flick through pages (ie/ you can only be on any one page at any one time)

The system doesn't seem like an way to search for things such as documents

I find that there are always errors when completing the staff diary therefore making it unclear if this has been updated

The system often freezing making it twice as long to complete work
",,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),"Administrative staff - eg ward clerk, clinical coder, secretary",40,7.5,I have taught myself to use this system, most information is easily accessible. Has a user friendly interface. ,"There is a lot of duplicate information on the system. There is an overuse of jargon. It does not allow you to view more than one client at a time. The system crashes and does not allow you to open documents, or worse, it does not allow you to save your work. The search facility is poor, and time consuming. It is even more time consuming to search through the notes. You need to have specific dates to be able to locate information. The progress notes and summary should be combined and clear. There are a lot of excess functions that do not need to be present, and merely cause confusion. A lot of data is missed because the system does not require it to be filled. Reports regarding information stored on the system are wildly inaccurate. ",,
Mental Health Foundation Trust,Pennine Care NHS Foundation Trust,PCMIS (University of York IAPT system),"Physiotherapy, OT, Medical Technicians",45,22.5,Clinical letters cannot be altered after they have been written. It links up notes from past referrals and present referrals.,More alerts when you have not done things e.g clients supposed to have a risk assessment every 6 months there is supposed to be an assessment and discharge letter. Alerts when you have not done these things would help.,,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),Manager,17.5,15,,,,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),"Physiotherapy, OT, Medical Technicians",27.5,12.5,Progress Notes Summary includes notes from all services in chronological order so you can see if a client has had contact with another service since you last saw them,"On the previous ICIS system I could see quickly from the summary screen which services were currently and had previously been involved with a client. It takes me some time to see this in the PARIS system as events seem to be recorded chronologically rather than by team.
I also have not found a way to transfer information from a previous risk assessment to a new one to update a client's risk profile. This runs the risk of important historic information on risk being lost. Currently I have to open the system twice and copy and paste between the old and new risk assessment to ensure this doesn't happen. ICIS used to give you the option to retain this information & revise or add to it as appropriate",,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),"Physiotherapy, OT, Medical Technicians",40,22.5,Some aspects are easy to use but having used RIO I think it's less effective.,Better diary management-better movement between screens. Better search function. Better risk assessment tool. Less 'hiding of information'. Better original migration of information into the system. Better design of care plans.,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS WEST LONDON (K&C & QPP) CCG,EMIS PCS (EMIS Health),Primary Care Doctor - GP,45,22.5,,,,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),Psychologist,35,10,Colours,"Most things - functionality, ease of reference, shortcut keys etc.",,,
Mental Health Foundation Trust,Lancashire Care NHS Foundation Trust,eCPA (EMIS Health),"Physiotherapy, OT, Medical Technicians",67.5,27.5,Easy to use,"No separate section to save OT assessments so they become lost in daily records. 
Frequently is slow or crashes causing staff to lose work. ",,,
Acute Foundation Trust,Milton Keynes Hospital NHS Foundation Trust,Millennium (Cerner),Manager,55,27.5,I like what they are trying to achieve with improving the integration between solutions and I like the direction they are headed in with regards to prevention.,"I'm very used to it, so don't find it hard to use, but evaluating the reactions of staff newly exposed to it, they love what it could do, but hate that it seems overly complex for use in a clinical environment.  There are parts which are intuitive, but this is not consistent.  For example, the way in which users 'sign' an entry can vary depending on which part of the application you are in.",,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),Manager,30,17.5,"tiles system.
","nearly everything- too many repetitive actions; too many 'clicks'
can only operate one function at a time and if you leave the page- you lose the whole action
have to repeatedly go back to where you start rather than be able to 'jump in and out'
diary defaults to cumbersome 15 min slot
can only access one day at a time for my staff's diary- useless waste of time
quality of letter templates is poor and cannot alter the format/size; amateurish
too many to mention.
The worst system !


",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS LIVERPOOL CCG,EMIS Web (EMIS Health),IT or Technical Staff,85,40,,,,,
Community Trust,OtherDorset Healthcare University Foundation Trust,Telecare (Mill Systems),Secondary / Tertiary Care Doctor,5,2.5,records accessible from different locations,the whole system. Need to be able to look at previous consultations and results without having to exit current consultation and then difficult to get back in. Reduce number of screens and having to scroll down them. Reduce number of inputs to get into a record. Integrate with the east of the county - same service 2 different systems.  ,,,
Mental Health Foundation Trust,Dorset Healthcare University NHS Foundation Trust,SystmOne Community (TPP),"Community Nurse - School Nurse, Health Visitor etc",70,30,Standardises record keeping - quicker than hand writing - information sharing practices improved,,,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),IT or Technical Staff,57.5,30,"Its highly flexible, the trust has the ability to design its own functionality to improve the user experience using User Defined Forms.  ",The appointment bookings and staff diary functionality including recording clinical contacts could be improved - the two modules are inconsistant with each other.  The waiting list functionality could be better.,,,
Mental Health Foundation Trust,Cambridgeshire and Peterborough NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,55,30,Progress notes,Every single entry should be able to read chronologically (ie include core assessment and letters and diagnosis records in progress notes). Should be able to search entire record not just few months at a time. I hate hate having to wait to open up word to read letters. No facility to graph weights or other quantative measures. ,,,
Mental Health Foundation Trust,North Essex Partnership NHS Foundation Trust,,,40,27.5,,,,,
Community Trust,OtherDHUFT,SystmOne Palliative (TPP),"Physiotherapy, OT, Medical Technicians",70,30,shared with Gps and nurses making communication easier as we all work in community and direct contact not always practical,I'm sure there is more I could use but don't know how,,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),"Community Nurse - School Nurse, Health Visitor etc",12.5,2.5,Nothing. ,I would change it to a completely different system. ,,,
Mental Health Foundation Trust,Camden and Islington NHS Foundation Trust,Carenotes (Advanced Health & Care),Manager,37.5,35,System has only recently been implemented so impact/effectiveness of system still in early stages of assessment,System still being embedded in the service - too early to determine,,,
Mental Health Foundation Trust,South West Yorkshire Partnership NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,7.5,0,Nothing at all. The upgrade to rio7 has been a disaster,"Everything. The system crashes on a daily basis, it's impossible to navigate quickly. A good system would operate like a clinical paper file, with one 'flick' you could be in the right section. Instead you can't tell if documents are completed or not without going in them all. I also think the progress notes that everyone can see is unsatisfactory for patients- someone discloses childhood sexual abuse to me and that's recorded in the notes- 3 years later a locum psychiatrist etc... Can read that easily. There should be a way of privvying sensitive information within the file. ",,,
Mental Health Foundation Trust,South London and Maudsley NHS Foundation Trust,ePJS (SLaM),Psychologist,70,22.5,It is fairly simple and does not require me to enter the same information multiple times.,It is difficult to understand a pateint's history - the system as it currently stands is very present orientated. I would give more prominence to a summary/history of care.,,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),Secondary Care / Inpatient Nurse,50,20,easy to use,"If it stopped crashing it would be helpful as that loses a lot of work which needs to be restarted.
Our IT support is only office hours which is a problem",,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),"Physiotherapy, OT, Medical Technicians",15,7.5,"Very little. It is cumbersome, slow in processing information ( it's like working on a dial up connection)unnecessary information is required to be inputted which slows down the process. The ease of access of functions is compromised by processes which are not intuitive",I would change to a service specific system such as PC-MIS or IAPTUS or at lease return to our previous system which was ICIS. This system was not perfect but in comparison to PARIS it was easier to use and saved time and reduced stress,,,
Acute Foundation Trust,Norfolk and Norwich University Hospitals NHS Foundation Trust,E3/Euroking,Midwife,50,17.5,if it transfers information to other systems and so reducing input it will save a small amount of time.,Government have asked for specific Data sets and if they truky used the information to improve maternity services then all the extra not inconsiderable effort required to input would not seem in vain,,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),"Community Nurse - School Nurse, Health Visitor etc",20,17.5,,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Pharmacy Technician,65,37.5,One central hub for clinical data,All prescriptions should be made alectronic and passed through an EPR system.,,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),Secondary / Tertiary Care Doctor,45,17.5,Good flexible templates,Very cumbersome and incoherent,,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),support worker,72.5,15,"Nothing Don't like this system it takes to long to come up and start using,so that's why not a great fan of this site",revert to the old system RIO ,,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),Psychologist,42.5,12.5,The visual interface is well designed,  reminds me of a smart TV. ,"The number of screens and clicks required to perform routine actions are excessive and frustrating; particularly in high volume services. The system NEEDS to enable searching for free initial appointments from multiple practitioners over a substantial time period (e.g. 6 weeks). Our system does not enable this. Without this, we can not find and use all of our capcity, and therefore can not run efficient services.",,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Carenotes (Advanced Health & Care),"Administrative staff - eg ward clerk, clinical coder, secretary",70,25,Simple and Easy to use,"1: Font and colour: wording to small,
2: You cannot add notes to a patients file without an active referral/spell. This may cause issues as patient will not always have an active episode of care but clinical/administrator may need to record patient related info.
3: Issues with copying and pasting from word document to patients notes ( notes disappear once document is confirmed)
4: very slow can take up to 8 mins for screen to load
 ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Pharmacist Secondary Care,62.5,22.5,,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,iSOFT Clinical Manager,Secondary / Tertiary Care Doctor,80,22.5,easy to use - self intuitive,Incorporate more cross-compatability ,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,EPR (Teleologic),Secondary Care / Inpatient Nurse,65,30,Easy to use,more functionality and integration with other clincial systems,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,PIMS (CSC),Secondary Care / Inpatient Nurse,45,10,,its lack of interoperabiity.  Too many disparate systems do not link,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,MedChart,Pharmacist,47.5,30,I can quickley see changes made to a preselected gorup of patient's medications. This allows me to effectively prioritise my daily work. There are function to add medication alerts.,I do understand the many potential benefits of electroninc prescribing software but in my opinion the system is prone to crashing or slowing down significantly. This causes delays in performing tasks which were previously completed in half the time.,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),"Physiotherapy, OT, Medical Technicians",77.5,37.5,I can see most of the clinic letters that a patient has at this trust and the neighbouring trust. I can document phone & email conversations easily and upload exercise sheets and advice sheets easily. ,"There are still too many systems that it doesn't 'talk to'. I would find it extremely helpful if Tommcat in particular was linked to it. Also, e-noting & carevue would be very helpful. ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,EPR (Teleologic),Hospital doctor,57.5,32.5,,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,PIMS (CSC),Secondary / Tertiary Care Doctor,67.5,35,,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,iSoft Clinical Manager 1.6,Secondary / Tertiary Care Doctor,82.5,37.5,"Ease of use; stability; merges multiple information streams (results, clinical info); all tests requested through this",An ideal system would include the ability to use it as a paperless equivalent to inpatient notes, all prescribing would be done through this software. Requires improvement in the ability to add extrinsic documents (eg reports produced elsewhere). Off-site access.,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,iSoft EPR,Secondary / Tertiary Care Doctor,67.5,27.5,,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Carenotes (Advanced Health & Care),"Community Nurse - School Nurse, Health Visitor etc",62.5,10,The system is easy to navigate ,"I would nt have implemented prior to the system being ready.
There are too many templates which duplicate what I am doing ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Carenotes (Advanced Health & Care),"Physiotherapy, OT, Medical Technicians",27.5,12.5,,"Very slow to load pages, keeps breaking down constantly. Not functioning as it should - diary function and letter function not working at present. So taking a lot longer to find patients. Also need to obtain diary list from admin which is not ideal. Difficult to find clinic notes related to our profession only, as there is no option to filter notes. Overall, makes time management and running clinics very difficult. ",,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),Secondary / Tertiary Care Doctor,32.5,7.5,Nothing,"A lot. Carenotes is not very user friendly in my opinion. It takes a lot of time to find the information you need and a lot of time to input the information. Care notes diary is the worst I have seen. The font size , white grey combination on tabs, display in normal desktops are few of the irritating  disadvantages with the system. I honestly could bot understand why the Trust opted for this system when we could have stayed with RiO and customised it in the way we wanted. Advanced heath and Care obviously did a good marketing job, promising a lot of advantages to the system and sadly, the Trust has fallen for it.",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,EPR (Teleologic),Secondary / Tertiary Care Doctor,30,0,"Almost nothing as it is outdated and has no ability to link with other IT solutions such as PACS, medchart, excelera, etc",Re-write it from the ground up.,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),"Physiotherapy, OT, Medical Technicians",92.5,35,Easy to use,Format - the knowledge tree,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),IT or Technical Staff,30,27.5,,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,25,10,Useful when medical notes not available as allows access to previous correspondence,"would benefit from improved time to login, faster movement between subsections, greater clarity in terms of icons/menus for functions",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Carenotes (Advanced Health & Care),Secondary / Tertiary Care Doctor,47.5,20,Tabbed system to different areas,"Far too slow to be helpful or safe - needs to be quicker
Diary takes too long to open up - needs to be quicker
Would be better if able to access patient record directly by clicking on name in diary, rather than cumbersome way of seeing diary and then searching for patient separately",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,47.5,12.5,Generally stable,Not intuitive,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,87.5,37.5,"Straightforward, easy to use, easy to access most relevant information","A major flaw is the inability to track outstanding results. There is limited integration with PACS. WinDIP, which is used to present certain results and correspondence is hopeless- slow and crashes frequently",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,e noting,Secondary Care / Inpatient Nurse,60,22.5,,It needs an effective decsaion support function that will be costly to introduce for a one sight system,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,60,22.5,blood results,"using the electronic prescribing function, having all scan available on this one system rather than on separate system (astrai)",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,22.5,7.5,"e-noting commented upon
Very little","Time
Focus lost on patient / family and put on IT system
Cumbersome
No linkage with other epr / pims / medchart / lettermakker / coding systems - nothing talks to each other
Spend twice as long doing half as much work, half as well
If I was closer to retirement I would genuinely look at it as an early option",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Pharmacist,85,45,Easy to use,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,37.5,12.5,The fact that it is note free,"The use of multiple systems without integration into a single package.
The need for multiple log ins
The fact that it takes away from direct patient contact time while trying to use the it system
The risk that can enter patient data on the wrong patient",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,37.5,10,I do not think it is a good system. ,"It is difficult to read through patient notes - I would really like to be able to read the all the medical notes in a temporal arrangement and you currently cannot do this - you can do this for some, but not all notes, and it includes nursing notes which are not relevant to me and make it difficult to find the information you want. The clerking proforma is very complex and not actually used by staff, rendering it pointless. It is difficult and cumbersome to find clinical details to the extent that on post take ward rounds one resorts to having to present cases from memory only as it takes so long to get them on the screen. It is not fit for purpose and in my opinion is damaging our ability to provide the best quality care. ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),"Physiotherapy, OT, Medical Technicians",42.5,20,Ability to see clinic letters and som eclinical notes,Include ability to see current in-patient notes and appointment letters,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,37.5,12.5,"once you work out what you are doing, it is fairly solid.","we have 3 separate computer systems (EPR/iCM, for orders/results; enoting for documentation; medchart for prescribing) and they do not link up. It is extremely frustrating having to input the same information repeatedly. They are all clunky in their own ways, and the actual hardware is generally ancient",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,75,27.5,Ability to access remotely,"Very slow, difficulty scrolling through previous data",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.PM (CSC),Secondary / Tertiary Care Doctor,52.5,12.5,,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,65,25,trend function,more user friendly so that it communicates with all the other systems that are used in the hospital this would cut out a hugh amout of waste adn repetition inorder to reduce error and improve patient outcome,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Clinical (IMS Maxims),Secondary / Tertiary Care Doctor,62.5,32.5,"Ability to trend results, look at letters, export data, show patients trends","Having to use passwords for linked systems eg mechart and e-noting.

The difficulty scrolling between different encounters for the same patient and the difficulty with the windip interface ITS TOO SLOW",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Carenotes (Advanced Health & Care),"Community Nurse - School Nurse, Health Visitor etc",50,25,Be able to access clients clinical notes from the diary,Advance to add all the functionality requested in order for staff to work effectively,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Electronic patient management (CSC),Secondary / Tertiary Care Doctor,87.5,27.5,EPR works reasonably well ,"It needs Thumbnails so that the relevent most meaningful letters can be searched for and identified quickly (like flicking through the notes and seeing instantly which are the most comprehensive / senior opinions) - the absence of this means that EPR is NOT AS GOOD as paper notes for patient care. 
MORE INSANELY - our trust has EPR, enoting, ITU system and med chart and PACS - all of which have to be logged onto separately. THIS IS DANGEROUS AND DELETERIOUS TO PATIENT CARE! BUT NO ONE IS INTERESTED IN HEARING THIS",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,77.5,2.5,"Can view remotely, no lost case notes etc","Timeout is far too short, parts of it malfunction regularly, IT felt just too busy to keep up with requests and I'm too busy to be available for them in daytime hours so I just put up with the problems ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Carenotes (Advanced Health & Care),"Physiotherapy, OT, Medical Technicians",5,0,"Absolutely nothing - It crashes, it's slow, you can't tell when a patient has arrived, just booking a simple appointment can take many minutes. Producing a letter is incredably cumbersome and slow. Carenotes is an absolute pig to use in a busy clinical environment and massively increases stress levels. Carenotes might be OK in a small private practice with a handful of patients but it is not up to the job of handling a large NHS caseload.","To stop using Carenotes a.s.a.p. and switch to a more user friendly, faster, reliable and most importantly tried and tested EPR system",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),"Physiotherapy, OT, Medical Technicians",30,27.5,It works,Make it more modern and entry into documentation should flow more easily.,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,22.5,10,,When patients are tagged to a team on the system when they are admitted to A and E they have to be retained once admitted to the ward or we cannot order investigations ,,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),Psychologist,62.5,30,Flexibility of the system and that you can request changes to it ,Clearer guides on what needs to be completed and options that prevent you from making errors (i.e. shaded out boxes when you shouldn't click on something),,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,65,17.5,Relatively easy to use,"Limited noting facility, only really useful for test ordering and results.",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,iCS (CSC),Dentist,45,25, Not much,"Speed it up, eliminate all the useless bits, design it to be used by humans not just IT people who grew up using DOS",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,60,25,,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,iSOFT clinical manager,"Physiotherapy, OT, Medical Technicians",72.5,27.5,easy to use ,"integration with all other hospital programmes
list all the diagnoses and problems in one place",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,57.5,17.5,Integrates the majority - but not all - of patient documents and results. Relatively easy to order/request investigations. ,"Awful integration with the WinDIP module which means accessing some document types is frustrating, time-consuming and prone to error. 

Powerchart in Sydney is the single best integrated system I have ever used. Would love to see something like that in the NHS. ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,77.5,37.5,Easy to find everyone's notes, fast,nothing,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,75,25,Search facility is easy.,Making full use of the software including prescribing ,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),"Physiotherapy, OT, Medical Technicians",62.5,35,EPR is really useful.  I like to be able to look at the clinic letters and notes and completing orders quickly and easily and is easy to navigate.  Also to look at the trends of blood results over time etc,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Clinicom (CSC),"Physiotherapy, OT, Medical Technicians",32.5,12.5,it is a starting point for electronic records,"Intergration with booking system/appointment records   Integration into enoting system, proper integration into image storage systems, integration into prescribing software.  Basically a single intergrated hospital system that speaks to each other and requires a single password to enter with ""rights"" being assigned to person certain tasks and ordering on a need/aurthorised to do so basis.

The system needs to be much more intuitive to use, faster and probably windows based with easy access on multiple platforms including tablets etc.

It should have the capacity to allow clinicians to create spreadshet backed pateint data which is data stamped.  This means that outcome measures could be regularly inputted within a specific pateint record

Patient records should be set up in a way that it is possible to inteligently and efficiently interrogate the data for  audit and research purposes  

That lot without even thinking !",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Pathnet (Cerner),Secondary / Tertiary Care Doctor,32.5,5,Nothing, this system is MS-DOS based and last been updated in the 90s' . . . ,The system itself!,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,EPR (Teleologic),Secondary Care / Inpatient Nurse,65,25,"Your drop down system appears to not have E noting which is our main documentation of care system. I also use EPR for documenting telephone calls and out -patients visits. my answerrs are for both systems.
EPR good points- results and can also document care and download photos.EPR bad points- if u go in on the wrong episode, can't print out last letters etc. Should talk to all HNS hospitals and other IT sustems within the NHS. E noting. Good points- can document remotely. Bad points- again, does not talk to all other important systems. certain importsnt documents /information not printed and so not aleways carried out. ie- wound care plan.","I think there are too many different it systems within accross london and the nhs. hospital ises a different system to community so this does NOT stream lne transfer of care. also things like referring patients. IE. referred a patient to district nusring service in wapping. because i completed our 'local' form, they did not accpet it and so i wasted time completing another form with the same information. this took me away from die=rect patient care- ridiculous situation.",,,
Community Trust,Specialist Palliative Care Provider (anywhere),SystmOne Palliative (TPP),Secondary / Tertiary Care Doctor,75,37.5,"Templates, menus and views",Care plans interacting with rest of system,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),"Physiotherapy, OT, Medical Technicians",62.5,30,I know my way around it and can look at trend of data,"More people need to accurately enter in the demographics fully and the PMH - lots of data doesnt get entered on so you cant always trust EPR to provide everything that the paper notes say. It would be better if there was one system we could use for everything - currently i have to access 5 different systems every time before i can see a patient (enoting for obs, EPR re results, PACS for CXR, Medchart for their drug chart, and their paper notes for the actual notes). ",,,
Mental Health Foundation Trust,OtherDevon Partnership Trust,Carenotes (Advanced Health & Care),Secondary Care / Inpatient Nurse,45,30,,"GP information for new patients does not pull over automatically from the spine.

The ‘referral screening’ form does not pull over CCO details.

Progress note entries cannot be formatted when they are linked to the dairy.

Risk assessment – clicking the tick box closes the free text box! If there are risks, we need free texts to record them – and there aren’t, then you don’t need a text box.

Progress Notes -  option to select longer time periods (or even “all”) by default.

For team episodes:
“Referral Date & Time” and “Received Date & Time” – why would these ever be different?

Cut and paste (from Word Documents etc.) won’t work with the mouse – only from the keyboard and formatting from other programmes display in odd ways. ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),,40,5,Nothing really except that records created electronically are less likey to be lost as paper versions,"It is not fit for purpose as it does not include key information (based on best practice and common sense) that is needed to ensure a quality, safe, timely and appropriate record of the patient journey through Endoscopy.
It is not easily referred to in the Procedure room as part of Team communications activity (Think WHO style safety checks)Missing information is scribbled on paper if a nurse wants to be sure to draw the attention to information. The display screen is too small to allow it to be used in a Team huddle situation. The page breakup requires time and patience to scroll through. I would scrap E-Noting in Endoscopy until we had a fit for purpose package and usability issues are addressed. We do not have totally the same information needs as other departments and that has apparently been overlooked in the scramble to join the Electronic Record race.",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,67.5,5,Access from anywhere.,"Everything:
1. Different pre-made proformas for admission etc are very unhelpful to review.
2. html-based inhouse system is far too slow.
3. Unhelpful / lack of integration with other clinical systems.
4. Needs a better ""clinical notes review"" system where all entries (i.e. continuation notes, reviews, admission clerking etc) can all be seen in temporal sequence on a single page (or system that is quick to ""turn pages"").",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),"Physiotherapy, OT, Medical Technicians",65,22.5,"I can cut and paste the patient's notes to address complaints.
I can see my staff's clinical notes.
I can access some other clinician's notes","It needs to talk to PACS (imaging viewing system)
I would like to be able to hit the return button in a free text box on the knowledge tree
I would like for there to be a specific area for the inputting of lot numbers for equipment given to patients, with a report being able to be pulled off if there are any alerts.
I would like for some physiotherapy specific conditions to be able to be inputted, as this data is crucial for forward workforce planning and other projects.",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),"Physiotherapy, OT, Medical Technicians",15,2.5,I  like the fact that clinical notes can be entered / read  away from patient/ward.,"The notes section needs to be far more integrated - its impossible tryign to actually read a set of notes by clicking in and out out the different entries and if you choose ""review note"" it doesnt display all the notes. The obs scores dont indicate when a patient is CREWS and there is no highlighting of when they are triggering as at risk. Too many things are still on paper charts for this to be a truly paper free notes system as yet. There are not computer stations at each patients bedside - this poses clinical risk in beign able to quickly check the obs and interferes with patient interaction in approaching a patient.",,,
